"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt","urlPart"
"657770","330167","2025-10-06","46.20","NZD","1759691465","293043/2025-10-06/1759691465.json"
"658625","331359","2025-10-06","50.60","NZD","1759691465","293043/2025-10-06/1759691465.json"
"657770","330167","2025-10-07","46.20","NZD","1759691465","293043/2025-10-07/1759691465.json"
"657774","330171","2025-10-07","48.40","NZD","1759691465","293043/2025-10-07/1759691465.json"
"658625","331359","2025-10-07","50.60","NZD","1759691465","293043/2025-10-07/1759691465.json"
"657770","330167","2025-10-08","46.20","NZD","1759691465","293043/2025-10-08/1759691465.json"
"657774","330171","2025-10-08","48.40","NZD","1759691465","293043/2025-10-08/1759691465.json"
"658625","331359","2025-10-08","50.60","NZD","1759691465","293043/2025-10-08/1759691465.json"
"657770","330167","2025-10-09","46.20","NZD","1759691465","293043/2025-10-09/1759691465.json"
"658625","331359","2025-10-09","50.60","NZD","1759691465","293043/2025-10-09/1759691465.json"
"657770","330167","2025-10-10","46.20","NZD","1759691465","293043/2025-10-10/1759691465.json"
"657774","330171","2025-10-10","48.40","NZD","1759691465","293043/2025-10-10/1759691465.json"
"657770","330167","2025-10-11","46.20","NZD","1759691465","293043/2025-10-11/1759691465.json"
"657774","330171","2025-10-11","48.40","NZD","1759691465","293043/2025-10-11/1759691465.json"
"658625","331359","2025-10-11","50.60","NZD","1759691465","293043/2025-10-11/1759691465.json"
"657770","330167","2025-10-12","46.20","NZD","1759691465","293043/2025-10-12/1759691465.json"
"658625","331359","2025-10-12","50.60","NZD","1759691465","293043/2025-10-12/1759691465.json"
"658625","331359","2025-10-13","50.60","NZD","1759691465","293043/2025-10-13/1759691465.json"
"658625","331359","2025-10-14","50.60","NZD","1759691465","293043/2025-10-14/1759691465.json"
"657774","330171","2025-10-15","48.40","NZD","1759691465","293043/2025-10-15/1759691465.json"
"658625","331359","2025-10-15","50.60","NZD","1759691465","293043/2025-10-15/1759691465.json"
"657774","330171","2025-10-16","48.40","NZD","1759691465","293043/2025-10-16/1759691465.json"
"658625","331359","2025-10-16","50.60","NZD","1759691465","293043/2025-10-16/1759691465.json"
"657774","330171","2025-10-17","48.40","NZD","1759691465","293043/2025-10-17/1759691465.json"
"658625","331359","2025-10-17","50.60","NZD","1759691465","293043/2025-10-17/1759691465.json"
"657774","330171","2025-10-18","48.40","NZD","1759691465","293043/2025-10-18/1759691465.json"
"658625","331359","2025-10-18","50.60","NZD","1759691465","293043/2025-10-18/1759691465.json"
"657774","330171","2025-10-19","48.40","NZD","1759691465","293043/2025-10-19/1759691465.json"
"658625","331359","2025-10-19","50.60","NZD","1759691465","293043/2025-10-19/1759691465.json"
"657774","330171","2025-10-20","48.40","NZD","1759691465","293043/2025-10-20/1759691465.json"
"658625","331359","2025-10-20","50.60","NZD","1759691465","293043/2025-10-20/1759691465.json"
"657770","330167","2025-10-21","46.20","NZD","1759691465","293043/2025-10-21/1759691465.json"
"658625","331359","2025-10-21","50.60","NZD","1759691465","293043/2025-10-21/1759691465.json"
"657770","330167","2025-10-22","46.20","NZD","1759691465","293043/2025-10-22/1759691465.json"
"657774","330171","2025-10-22","48.40","NZD","1759691465","293043/2025-10-22/1759691465.json"
"658625","331359","2025-10-22","50.60","NZD","1759691465","293043/2025-10-22/1759691465.json"
"657770","330167","2025-10-23","46.20","NZD","1759691465","293043/2025-10-23/1759691465.json"
"658625","331359","2025-10-23","50.60","NZD","1759691465","293043/2025-10-23/1759691465.json"
"657774","330171","2025-10-24","48.40","NZD","1759691465","293043/2025-10-24/1759691465.json"
"658625","331359","2025-10-24","50.60","NZD","1759691465","293043/2025-10-24/1759691465.json"
"657774","330171","2025-10-25","48.40","NZD","1759691465","293043/2025-10-25/1759691465.json"
"658625","331359","2025-10-25","50.60","NZD","1759691465","293043/2025-10-25/1759691465.json"
"657770","330167","2025-10-27","46.20","NZD","1759691465","293043/2025-10-27/1759691465.json"
"658625","331359","2025-10-27","50.60","NZD","1759691465","293043/2025-10-27/1759691465.json"
"657770","330167","2025-10-28","46.20","NZD","1759691465","293043/2025-10-28/1759691465.json"
"657774","330171","2025-10-28","48.40","NZD","1759691465","293043/2025-10-28/1759691465.json"
"658625","331359","2025-10-28","50.60","NZD","1759691465","293043/2025-10-28/1759691465.json"
"657770","330167","2025-10-29","46.20","NZD","1759691465","293043/2025-10-29/1759691465.json"
"657774","330171","2025-10-29","48.40","NZD","1759691465","293043/2025-10-29/1759691465.json"
"658625","331359","2025-10-29","50.60","NZD","1759691465","293043/2025-10-29/1759691465.json"
"657770","330167","2025-10-30","46.20","NZD","1759691465","293043/2025-10-30/1759691465.json"
"657774","330171","2025-10-30","48.40","NZD","1759691465","293043/2025-10-30/1759691465.json"
"658625","331359","2025-10-30","50.60","NZD","1759691465","293043/2025-10-30/1759691465.json"
"657770","330167","2025-10-31","46.20","NZD","1759691465","293043/2025-10-31/1759691465.json"
"657774","330171","2025-10-31","48.40","NZD","1759691465","293043/2025-10-31/1759691465.json"
"658625","331359","2025-10-31","50.60","NZD","1759691465","293043/2025-10-31/1759691465.json"
"657770","330167","2025-11-01","46.20","NZD","1759691465","293043/2025-11-01/1759691465.json"
"657774","330171","2025-11-01","48.40","NZD","1759691465","293043/2025-11-01/1759691465.json"
"658625","331359","2025-11-01","50.60","NZD","1759691465","293043/2025-11-01/1759691465.json"
"657770","330167","2025-11-02","46.20","NZD","1759691465","293043/2025-11-02/1759691465.json"
"658625","331359","2025-11-02","50.60","NZD","1759691465","293043/2025-11-02/1759691465.json"
"657770","330167","2025-11-03","46.20","NZD","1759691465","293043/2025-11-03/1759691465.json"
"658625","331359","2025-11-03","50.60","NZD","1759691465","293043/2025-11-03/1759691465.json"
"657770","330167","2025-11-04","46.20","NZD","1759691465","293043/2025-11-04/1759691465.json"
"658625","331359","2025-11-04","50.60","NZD","1759691465","293043/2025-11-04/1759691465.json"
"657770","330167","2025-10-06","46.20","NZD","1759697979","293043/2025-10-06/1759697979.json"
"658625","331359","2025-10-06","50.60","NZD","1759697979","293043/2025-10-06/1759697979.json"
"657770","330167","2025-10-07","46.20","NZD","1759697979","293043/2025-10-07/1759697979.json"
"657774","330171","2025-10-07","48.40","NZD","1759697979","293043/2025-10-07/1759697979.json"
"658625","331359","2025-10-07","50.60","NZD","1759697979","293043/2025-10-07/1759697979.json"
"657770","330167","2025-10-08","46.20","NZD","1759697979","293043/2025-10-08/1759697979.json"
"657774","330171","2025-10-08","48.40","NZD","1759697979","293043/2025-10-08/1759697979.json"
"658625","331359","2025-10-08","50.60","NZD","1759697979","293043/2025-10-08/1759697979.json"
"657770","330167","2025-10-09","46.20","NZD","1759697979","293043/2025-10-09/1759697979.json"
"658625","331359","2025-10-09","50.60","NZD","1759697979","293043/2025-10-09/1759697979.json"
"657770","330167","2025-10-10","46.20","NZD","1759697979","293043/2025-10-10/1759697979.json"
