"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt","urlPart"
"171458","132477","2025-10-06","48.00","NZD","1759691546","45438/2025-10-06/1759691546.json"
"171458","507349","2025-10-06","45.60","NZD","1759691546","45438/2025-10-06/1759691546.json"
"171453","132475","2025-10-06","48.00","NZD","1759691546","45438/2025-10-06/1759691546.json"
"171453","507353","2025-10-06","45.60","NZD","1759691546","45438/2025-10-06/1759691546.json"
"300340","132479","2025-10-06","48.00","NZD","1759691546","45438/2025-10-06/1759691546.json"
"300340","507355","2025-10-06","45.60","NZD","1759691546","45438/2025-10-06/1759691546.json"
"394556","132480","2025-10-06","53.00","NZD","1759691546","45438/2025-10-06/1759691546.json"
"394556","507351","2025-10-06","50.35","NZD","1759691546","45438/2025-10-06/1759691546.json"
"171458","132477","2025-10-07","48.00","NZD","1759691546","45438/2025-10-07/1759691546.json"
"171458","507349","2025-10-07","45.60","NZD","1759691546","45438/2025-10-07/1759691546.json"
"171453","132475","2025-10-07","48.00","NZD","1759691546","45438/2025-10-07/1759691546.json"
"171453","507353","2025-10-07","45.60","NZD","1759691546","45438/2025-10-07/1759691546.json"
"300340","132479","2025-10-07","48.00","NZD","1759691546","45438/2025-10-07/1759691546.json"
"300340","507355","2025-10-07","45.60","NZD","1759691546","45438/2025-10-07/1759691546.json"
"394556","132480","2025-10-07","53.00","NZD","1759691546","45438/2025-10-07/1759691546.json"
"394556","507351","2025-10-07","50.35","NZD","1759691546","45438/2025-10-07/1759691546.json"
"171458","132477","2025-10-08","48.00","NZD","1759691546","45438/2025-10-08/1759691546.json"
"171458","507349","2025-10-08","45.60","NZD","1759691546","45438/2025-10-08/1759691546.json"
"171453","132475","2025-10-08","48.00","NZD","1759691546","45438/2025-10-08/1759691546.json"
"171453","507353","2025-10-08","45.60","NZD","1759691546","45438/2025-10-08/1759691546.json"
"300340","132479","2025-10-08","48.00","NZD","1759691546","45438/2025-10-08/1759691546.json"
"300340","507355","2025-10-08","45.60","NZD","1759691546","45438/2025-10-08/1759691546.json"
"394556","132480","2025-10-08","53.00","NZD","1759691546","45438/2025-10-08/1759691546.json"
"394556","507351","2025-10-08","50.35","NZD","1759691546","45438/2025-10-08/1759691546.json"
"171458","132477","2025-10-09","48.00","NZD","1759691546","45438/2025-10-09/1759691546.json"
"171458","507349","2025-10-09","45.60","NZD","1759691546","45438/2025-10-09/1759691546.json"
"171453","132475","2025-10-09","48.00","NZD","1759691546","45438/2025-10-09/1759691546.json"
"171453","507353","2025-10-09","45.60","NZD","1759691546","45438/2025-10-09/1759691546.json"
"300340","132479","2025-10-09","48.00","NZD","1759691546","45438/2025-10-09/1759691546.json"
"300340","507355","2025-10-09","45.60","NZD","1759691546","45438/2025-10-09/1759691546.json"
"394556","132480","2025-10-09","53.00","NZD","1759691546","45438/2025-10-09/1759691546.json"
"394556","507351","2025-10-09","50.35","NZD","1759691546","45438/2025-10-09/1759691546.json"
"171458","132477","2025-10-10","48.00","NZD","1759691546","45438/2025-10-10/1759691546.json"
"171458","507349","2025-10-10","45.60","NZD","1759691546","45438/2025-10-10/1759691546.json"
"171453","132475","2025-10-10","48.00","NZD","1759691546","45438/2025-10-10/1759691546.json"
"171453","507353","2025-10-10","45.60","NZD","1759691546","45438/2025-10-10/1759691546.json"
"300340","132479","2025-10-10","48.00","NZD","1759691546","45438/2025-10-10/1759691546.json"
"300340","507355","2025-10-10","45.60","NZD","1759691546","45438/2025-10-10/1759691546.json"
"394556","132480","2025-10-10","53.00","NZD","1759691546","45438/2025-10-10/1759691546.json"
"394556","507351","2025-10-10","50.35","NZD","1759691546","45438/2025-10-10/1759691546.json"
"171458","132477","2025-10-11","48.00","NZD","1759691546","45438/2025-10-11/1759691546.json"
"171458","507349","2025-10-11","45.60","NZD","1759691546","45438/2025-10-11/1759691546.json"
"171453","132475","2025-10-11","48.00","NZD","1759691546","45438/2025-10-11/1759691546.json"
"171453","507353","2025-10-11","45.60","NZD","1759691546","45438/2025-10-11/1759691546.json"
"300340","132479","2025-10-11","48.00","NZD","1759691546","45438/2025-10-11/1759691546.json"
"300340","507355","2025-10-11","45.60","NZD","1759691546","45438/2025-10-11/1759691546.json"
"394556","132480","2025-10-11","53.00","NZD","1759691546","45438/2025-10-11/1759691546.json"
"394556","507351","2025-10-11","50.35","NZD","1759691546","45438/2025-10-11/1759691546.json"
"171458","132477","2025-10-12","48.00","NZD","1759691546","45438/2025-10-12/1759691546.json"
"171458","507349","2025-10-12","45.60","NZD","1759691546","45438/2025-10-12/1759691546.json"
"171453","132475","2025-10-12","48.00","NZD","1759691546","45438/2025-10-12/1759691546.json"
"171453","507353","2025-10-12","45.60","NZD","1759691546","45438/2025-10-12/1759691546.json"
"300340","132479","2025-10-12","48.00","NZD","1759691546","45438/2025-10-12/1759691546.json"
"300340","507355","2025-10-12","45.60","NZD","1759691546","45438/2025-10-12/1759691546.json"
"394556","132480","2025-10-12","53.00","NZD","1759691546","45438/2025-10-12/1759691546.json"
"394556","507351","2025-10-12","50.35","NZD","1759691546","45438/2025-10-12/1759691546.json"
"171458","132477","2025-10-13","48.00","NZD","1759691546","45438/2025-10-13/1759691546.json"
"171458","507349","2025-10-13","45.60","NZD","1759691546","45438/2025-10-13/1759691546.json"
"171453","132475","2025-10-13","48.00","NZD","1759691546","45438/2025-10-13/1759691546.json"
"171453","507353","2025-10-13","45.60","NZD","1759691546","45438/2025-10-13/1759691546.json"
"300340","132479","2025-10-13","48.00","NZD","1759691546","45438/2025-10-13/1759691546.json"
"300340","507355","2025-10-13","45.60","NZD","1759691546","45438/2025-10-13/1759691546.json"
"394556","132480","2025-10-13","53.00","NZD","1759691546","45438/2025-10-13/1759691546.json"
"394556","507351","2025-10-13","50.35","NZD","1759691546","45438/2025-10-13/1759691546.json"
"171458","132477","2025-10-14","48.00","NZD","1759691546","45438/2025-10-14/1759691546.json"
